test_type,regulators,reg_a,reg_b,reg_c,reg_d,n_a,n_b,n_c,n_d,observed_overlap,expected_overlap,direction,p_upper,p_value,q_value,significant_bh
pair,NCU06108 + lhp-1,Reg3 NCU06108,PostReg5 NCU08295,,,578,739,,,17,141.1573033707865,depleted,1.0,8.448076938435455e-54,4.6464423161395e-51,True
pair,NCU06108 + NCU07155,Reg3 NCU06108,Reg4 NCU07155,,,578,631,,,17,120.52808988764045,depleted,1.0,4.0241201309482747e-42,1.1066330360107755e-39,True
pair,NCU07155 + lhp-1,Reg4 NCU07155,PostReg5 NCU08295,,,631,739,,,38,154.10079312623927,depleted,1.0,7.207972345790355e-41,1.3214615967282316e-38,True
pair,pro-1 + lhp-1,Reg1 NCU07392,PostReg5 NCU08295,,,289,739,,,8,70.57865168539325,depleted,1.0,4.6377436070263066e-26,6.376897459661172e-24,True
pair,pro-1 + NCU07155,Reg1 NCU07392,Reg4 NCU07155,,,289,631,,,4,60.264044943820224,depleted,1.0,4.239965248124086e-25,4.663961772936495e-23,True
pair,pro-1 + NCU06108,Reg1 NCU07392,Reg3 NCU06108,,,289,578,,,6,55.20224719101124,depleted,1.0,4.452819177886286e-20,4.0817509130624285e-18,True
pair,WCC + NCU07155,Wcc,Reg4 NCU07155,,,210,631,,,4,43.790482485128884,depleted,1.0,7.226688237323408e-17,5.678112186468392e-15,True
pair,WCC + lhp-1,Wcc,PostReg5 NCU08295,,,210,739,,,9,51.28552544613351,depleted,1.0,8.742077404100094e-16,5.342380635838946e-14,True
pair,rpn-4 + lhp-1,Reg2 NCU01640,PostReg5 NCU08295,,,177,739,,,5,43.226371447455385,depleted,1.0,8.060698544442434e-16,5.342380635838946e-14,True
pair,NCU07155 + rrp-3,Reg4 NCU07155,PostReg6 NCU04504,,,631,173,,,2,36.07501652346332,depleted,1.0,1.7306272538562881e-15,9.518449896209585e-14,True
triple,NCU06108 + NCU07155 + lhp-1,Reg3 NCU06108,Reg4 NCU07155,PostReg5 NCU08295,,578,631,739.0,,0,29.434982956697386,depleted,0.9999999999999984,4.760637248714614e-14,2.380318624357307e-12,True
pair,WCC + NCU06108,Wcc,Reg3 NCU06108,,,210,578,,,5,40.1123595505618,depleted,0.9999999999999971,6.135766029536663e-14,2.8122260968709706e-12,True
pair,NCU06108 + rrp-3,Reg3 NCU06108,PostReg6 NCU04504,,,578,173,,,2,33.04494382022472,depleted,0.9999999999999984,7.070278724423467e-14,2.991271768025313e-12,True
pair,NCU07155 + has-1,Reg4 NCU07155,PostReg10 NCU09349,,,631,156,,,2,32.5300727032386,depleted,0.9999999999999979,9.60442204884706e-14,3.773165804904202e-12,True
pair,lhp-1 + rrp-3,PostReg5 NCU08295,PostReg6 NCU04504,,,739,173,,,7,42.24950429610046,depleted,0.9999999999999883,1.9671200654242485e-13,7.212773573222245e-12,True
pair,lhp-1 + has-1,PostReg5 NCU08295,PostReg10 NCU09349,,,739,156,,,6,38.097818902842036,depleted,0.9999999999998908,1.929846828800709e-12,6.633848474002437e-11,True
pair,lhp-1 + NCU03363,PostReg5 NCU08295,PostReg7 NCU03363,,,739,160,,,7,39.07468605419696,depleted,0.9999999999996553,5.324977560080738e-12,1.7227868576731797e-10,True
pair,rpn-4 + NCU07155,Reg2 NCU01640,Reg4 NCU07155,,,177,631,,,7,36.90912095175149,depleted,0.9999999999941612,8.210821371099443e-11,2.5088620856137184e-09,True
pair,NCU06108 + NCU03363,Reg3 NCU06108,PostReg7 NCU03363,,,578,160,,,4,30.56179775280899,depleted,0.9999999999923219,1.5544347973494065e-10,4.499679676537756e-09,True
pair,NCU06108 + has-1,Reg3 NCU06108,PostReg10 NCU09349,,,578,156,,,4,29.797752808988765,depleted,0.9999999999825574,3.438155975479126e-10,9.454928932567598e-09,True
pair,rpn-4 + NCU06108,Reg2 NCU01640,Reg3 NCU06108,,,177,578,,,8,33.80898876404494,depleted,0.9999999989313131,1.1712480604095593e-08,3.024765610028794e-07,True
pair,lhp-1 + pab-1,PostReg5 NCU08295,PostReg8 NCU04799,,,739,88,,,2,21.491077329808327,depleted,0.9999999995995906,1.2099062440115176e-08,3.024765610028794e-07,True
pair,NCU07155 + NCU03363,Reg4 NCU07155,PostReg7 NCU03363,,,631,160,,,9,33.364177131526766,depleted,0.9999999926496751,7.104397976045191e-08,1.698877776880372e-06,True
triple,pro-1 + NCU07155 + lhp-1,Reg1 NCU07392,Reg4 NCU07155,PostReg5 NCU08295,,289,631,739.0,,0,14.717491478348693,depleted,0.999999999999999,4.1586855777448985e-07,9.530321115665391e-06,True
pair,lhp-1 + rok-1,PostReg5 NCU08295,PostReg9 NCU00919,,,739,54,,,0,13.187706543291474,depleted,1.0,4.647227941048309e-07,1.0223901470306279e-05,True
pair,NCU07155 + pab-1,Reg4 NCU07155,PostReg8 NCU04799,,,631,88,,,2,18.35029742233972,depleted,0.9999999794222783,5.101274727165626e-07,1.0791158076696517e-05,True
pair,pro-1 + rrp-3,Reg1 NCU07392,PostReg6 NCU04504,,,289,173,,,1,16.52247191011236,depleted,0.9999999832775015,6.853551397428782e-07,1.3960938031799371e-05,True
